UI_ID,AgeCat,Breeder,Disperser,Coat
UI1767,Y,FALSE,FALSE,Gray
UI1769,Y/A,FALSE,FALSE,Brown
UI1772,A,FALSE,FALSE,Black
UI1780,A,FALSE,FALSE,Unknown
UI1782,A,FALSE,FALSE,Unknown
UI1784,Y/A,FALSE,FALSE,Unknown
UI1785,Y,FALSE,FALSE,Unknown
UI1787,Y,FALSE,FALSE,Unknown
UI1788,Y ,FALSE,FALSE,Unknown
UI1789,A,FALSE,FALSE,Unknown
UI1790,Y,FALSE,FALSE,Unknown
UI1792,Y,FALSE,FALSE,Unknown
UI1794,A,FALSE,FALSE,Unknown
UI1796,Y/A,FALSE,FALSE,Unknown
UI1797,A,FALSE,FALSE,Black
UI1799,A,FALSE,FALSE,Unknown
UI1800,A,FALSE,FALSE,Unknown
UI1802,A,FALSE,FALSE,Unknown
UI1803,A,FALSE,FALSE,Unknown
UI1804,A,FALSE,FALSE,Unknown
UI1806,A,FALSE,FALSE,Unknown
UI1807,A,FALSE,FALSE,Unknown
UI1813,A,FALSE,FALSE,Gray
UI1815,A,FALSE,FALSE,Unknown
UI1817,A,FALSE,FALSE,Unknown
UI1818,Y,FALSE,FALSE,Unknown
UI1819,A,FALSE,FALSE,Unknown
UI1820,Y/A,FALSE,FALSE,Unknown
UI1824,A,FALSE,FALSE,Unknown
UI1825,Y,FALSE,FALSE,Unknown
UI1826,Y,FALSE,FALSE,Unknown
UI1827,A,FALSE,FALSE,Unknown
UI1830,Y/A,FALSE,FALSE,Unknown
UI1833,A,FALSE,FALSE,Unknown
UI1835,Y/A,FALSE,FALSE,Unknown
UI1836,Y/A,FALSE,FALSE,Unknown
UI1838,A,FALSE,FALSE,Unknown
UI1839,A,FALSE,FALSE,Unknown
UI1841,A,FALSE,FALSE,Unknown
UI1843,A,FALSE,FALSE,Unknown
UI1844,A,FALSE,FALSE,Unknown
UI1845,A,FALSE,FALSE,Unknown
UI1847,Y,FALSE,FALSE,Unknown
